pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
284,EXTEND,3,279,0,208.33,22.70
285,DECODE,157,0,157,270.20,5.57
286,EXTEND,2,2,0,225.00,14.07
287,DECODE,157,0,157,271.97,5.66
288,EXTEND,2,128,0,152.00,14.36
289,DECODE,159,0,159,271.47,5.84
290,DECODE,159,0,159,272.47,5.72
291,DECODE,159,0,159,273.47,5.78
292,DECODE,154,0,154,275.01,5.73
293,EXTEND,4,194,0,168.50,21.61
294,DECODE,158,0,158,273.31,5.79
295,DECODE,158,0,158,274.31,5.76
296,DECODE,156,0,156,274.67,5.61
297,EXTEND,4,84,0,156.00,22.29
298,DECODE,159,0,159,272.37,5.61
299,EXTEND,2,2,0,127.00,14.17
300,DECODE,160,0,160,271.82,5.74
301,EXTEND,2,76,0,125.00,24.08
302,DECODE,159,0,159,272.13,5.84
303,EXTEND,2,30,0,121.00,24.76
304,DECODE,157,0,157,272.31,5.80
305,EXTEND,4,4,0,119.00,16.22
306,DECODE,160,0,160,270.09,5.88
307,EXTEND,2,286,0,234.00,23.54
308,DECODE,159,0,159,272.25,5.75
309,EXTEND,3,67,0,206.67,13.78
310,DECODE,161,0,161,270.80,6.47
311,EXTEND,2,55,0,146.50,18.44
312,DECODE,160,0,160,269.36,5.70
313,EXTEND,3,3,0,148.33,15.66
314,DECODE,160,0,160,267.98,6.14
315,EXTEND,3,88,0,152.00,14.41
316,DECODE,161,0,161,266.27,6.39
317,EXTEND,3,3,0,174.00,14.12
318,DECODE,160,0,160,264.23,5.75
319,EXTEND,3,264,0,174.00,21.04
320,DECODE,159,0,159,264.77,5.74
321,EXTEND,4,430,0,216.75,21.33
322,DECODE,162,0,162,263.27,5.77
323,EXTEND,3,113,0,172.33,24.33
324,DECODE,164,0,164,262.28,5.97
325,EXTEND,2,2,0,143.00,13.70
326,DECODE,162,0,162,260.75,5.75
327,EXTEND,3,219,0,160.00,21.73
328,DECODE,165,0,165,259.92,5.73
329,DECODE,165,0,165,260.92,5.70
330,DECODE,162,0,162,262.84,5.75
331,EXTEND,3,79,0,140.00,14.24
332,DECODE,165,0,165,261.61,5.74
333,DECODE,165,0,165,262.61,5.66
334,DECODE,165,0,165,263.61,5.65
335,DECODE,163,0,163,265.60,5.76
336,EXTEND,3,67,0,138.33,14.42
337,DECODE,162,0,162,262.25,5.85
338,EXTEND,4,56,0,151.00,15.02
339,DECODE,165,0,165,260.93,5.91
340,EXTEND,3,40,0,135.00,14.25
341,DECODE,168,0,168,259.68,5.79
342,DECODE,168,0,168,260.68,5.86
343,DECODE,167,0,167,261.50,5.75
344,EXTEND,2,2,0,133.00,14.85
345,DECODE,161,0,161,262.28,5.84
346,EXTEND,5,128,0,128.80,14.30
347,DECODE,161,0,161,262.11,5.88
348,EXTEND,6,160,0,121.67,15.40
349,DECODE,164,0,164,258.14,5.90
350,EXTEND,4,215,0,173.50,21.91
351,DECODE,167,0,167,257.75,5.73
352,EXTEND,3,3,0,298.00,14.05
353,DECODE,169,0,169,259.85,6.65
354,EXTEND,2,284,0,229.00,20.05
355,DECODE,170,0,170,261.08,6.03
356,EXTEND,2,2,0,229.00,18.82
357,DECODE,172,0,172,261.71,5.71
358,DECODE,172,0,172,262.71,5.83
359,DECODE,166,0,166,264.43,5.92
360,EXTEND,4,404,0,188.00,30.11
361,DECODE,167,0,167,262.07,6.00
362,EXTEND,4,198,0,137.00,31.64
363,DECODE,169,0,169,259.63,5.72
364,EXTEND,3,3,0,134.33,14.50
365,DECODE,171,0,171,258.39,5.99
366,EXTEND,2,38,0,136.00,19.23
367,DECODE,172,0,172,257.73,5.70
368,EXTEND,2,2,0,127.00,14.40
369,DECODE,172,0,172,257.30,5.99
370,EXTEND,2,104,0,158.00,14.36
371,DECODE,173,0,173,257.13,5.96
372,EXTEND,2,2,0,189.00,14.42
373,DECODE,174,0,174,257.37,5.91
374,EXTEND,1,1,0,189.00,13.66
375,DECODE,173,0,173,258.44,5.73
376,EXTEND,2,332,0,252.00,18.61
377,DECODE,172,0,172,260.08,5.95
378,EXTEND,3,46,0,211.67,14.90
379,DECODE,174,0,174,260.72,6.10
380,EXTEND,2,2,0,131.00,15.20
381,DECODE,174,0,174,261.11,7.15
382,EXTEND,2,44,0,131.50,19.54
383,DECODE,171,0,171,262.78,6.28
384,EXTEND,4,363,0,180.75,21.56
385,DECODE,173,0,173,263.35,6.00
386,EXTEND,3,3,0,263.67,14.77
387,DECODE,175,0,175,264.24,6.05
388,EXTEND,2,2,0,231.00,14.30
389,DECODE,176,0,176,264.11,6.11
390,EXTEND,2,2,0,132.00,15.20
391,DECODE,176,0,176,264.48,6.56
392,EXTEND,2,654,0,414.00,16.60
393,DECODE,176,0,176,267.85,6.01
394,EXTEND,2,2,0,414.00,14.34
395,DECODE,176,0,176,270.94,5.97
396,EXTEND,2,84,0,131.00,14.16
397,DECODE,175,0,175,271.07,5.99
398,EXTEND,3,75,0,140.67,13.99
399,DECODE,176,0,176,270.93,5.84
400,EXTEND,2,2,0,160.00,14.07
401,DECODE,176,0,176,271.22,5.88
402,EXTEND,3,139,0,156.67,20.36
403,DECODE,178,0,178,269.37,6.70
404,EXTEND,2,103,0,173.00,23.09
405,DECODE,176,0,176,269.46,5.87
406,EXTEND,3,3,0,179.00,14.17
407,DECODE,177,0,177,269.63,5.93
408,EXTEND,3,67,0,144.33,13.99
409,DECODE,177,0,177,269.86,6.14
410,EXTEND,3,60,0,129.33,15.83
411,DECODE,178,0,178,269.10,6.35
412,EXTEND,3,3,0,146.00,15.07
413,DECODE,178,0,178,268.21,6.60
414,EXTEND,3,186,0,150.00,19.63
415,DECODE,180,0,180,267.81,6.06
416,EXTEND,2,59,0,147.50,14.41
417,DECODE,181,0,181,267.77,6.09
418,EXTEND,2,2,0,145.00,16.87
419,DECODE,178,0,178,266.93,6.03
420,EXTEND,3,107,0,142.33,27.85
421,DECODE,180,0,180,266.49,6.07
422,EXTEND,3,60,0,142.00,14.14
423,DECODE,180,0,180,265.23,6.06
424,EXTEND,3,3,0,144.00,14.36
425,DECODE,180,0,180,265.00,6.28
426,EXTEND,3,225,0,164.00,28.83
427,DECODE,181,0,181,265.55,6.72
428,EXTEND,3,143,0,160.00,23.03
429,DECODE,178,0,178,266.10,6.20
430,EXTEND,4,164,0,163.00,22.14
431,DECODE,178,0,178,265.34,6.17
432,EXTEND,4,176,0,171.00,16.69
433,DECODE,182,0,182,264.26,6.09
434,DECODE,182,0,182,265.26,6.28
435,DECODE,178,0,178,264.38,6.30
436,EXTEND,5,143,0,149.40,15.17
437,DECODE,176,0,176,260.74,6.20
438,EXTEND,6,225,0,133.33,14.66
439,DECODE,181,0,181,258.09,6.12
440,EXTEND,4,106,0,163.75,24.53
441,DECODE,185,0,185,257.05,6.83
442,DECODE,185,0,185,258.05,5.95
443,DECODE,183,0,183,259.14,6.16
444,EXTEND,4,93,0,186.75,23.77
445,DECODE,184,0,184,260.14,5.80
446,EXTEND,3,3,0,177.00,13.95
447,DECODE,181,0,181,261.35,5.86
448,EXTEND,5,176,0,124.00,14.41
449,DECODE,184,0,184,259.70,5.85
450,EXTEND,4,102,0,155.00,28.04
451,DECODE,186,0,186,258.31,5.97
452,EXTEND,3,68,0,177.00,21.60
453,DECODE,184,0,184,259.21,6.00
454,EXTEND,4,41,0,156.00,19.51
455,DECODE,183,0,183,257.93,6.05
456,EXTEND,5,116,0,146.80,24.48
457,DECODE,185,0,185,257.01,6.88
