pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
60,DECODE,42,0,42,191.07,7.49
66,EXTEND,2,151,0,161.50,15.48
62,DECODE,43,0,43,196.26,7.54
62,DECODE,43,0,43,189.91,7.54
67,DECODE,45,0,45,199.71,7.56
61,EXTEND,2,138,0,155.00,14.64
63,EXTEND,2,173,0,173.00,13.24
68,DECODE,45,0,45,200.71,7.56
63,EXTEND,1,78,0,164.00,16.18
62,DECODE,43,0,43,190.12,7.52
64,DECODE,45,0,45,190.16,7.53
69,DECODE,43,0,43,201.84,7.54
64,DECODE,44,0,44,196.52,7.53
65,DECODE,45,0,45,191.16,7.51
65,DECODE,44,0,44,197.52,7.53
63,EXTEND,1,98,0,184.00,15.16
70,EXTEND,2,175,0,173.50,13.80
66,DECODE,45,0,45,192.16,7.50
66,DECODE,43,0,43,198.37,7.55
64,DECODE,44,0,44,190.98,7.53
67,DECODE,45,0,45,193.16,7.51
71,DECODE,43,0,43,202.35,7.55
65,DECODE,44,0,44,191.98,7.48
68,DECODE,45,0,45,194.16,7.49
67,EXTEND,1,98,0,184.00,15.29
66,DECODE,44,0,44,192.98,7.48
72,EXTEND,2,161,0,166.50,14.61
69,DECODE,45,0,45,195.16,7.51
68,DECODE,44,0,44,199.05,7.56
67,DECODE,44,0,44,193.98,7.48
70,DECODE,45,0,45,196.16,7.51
73,DECODE,42,0,42,202.10,7.55
69,DECODE,44,0,44,200.05,7.52
68,DECODE,43,0,43,195.23,7.48
71,DECODE,44,0,44,197.09,7.49
70,DECODE,43,0,43,201.26,7.54
74,EXTEND,2,126,0,149.50,17.10
72,EXTEND,1,51,0,137.00,11.83
69,EXTEND,1,75,0,162.00,16.38
75,DECODE,44,0,44,200.70,7.56
73,DECODE,45,0,45,196.76,7.53
70,DECODE,44,0,44,195.48,7.52
71,EXTEND,2,126,0,149.50,17.33
76,DECODE,44,0,44,201.70,7.53
74,DECODE,45,0,45,197.76,7.50
71,DECODE,44,0,44,196.48,7.48
72,DECODE,44,0,44,199.55,7.56
77,DECODE,44,0,44,202.70,7.53
72,DECODE,44,0,44,197.48,7.48
75,DECODE,43,0,43,199.30,7.50
73,EXTEND,1,63,0,149.00,12.21
78,DECODE,43,0,43,204.40,7.53
73,DECODE,43,0,43,198.19,7.48
74,DECODE,45,0,45,199.42,7.55
76,EXTEND,2,154,0,163.00,14.23
79,EXTEND,2,147,0,159.50,14.13
75,DECODE,45,0,45,200.42,7.55
77,DECODE,43,0,43,198.95,7.54
74,EXTEND,2,114,0,143.00,15.79
80,DECODE,44,0,44,203.32,7.55
76,DECODE,44,0,44,202.14,7.53
75,DECODE,45,0,45,196.73,7.50
76,DECODE,45,0,45,197.73,7.49
78,EXTEND,2,140,0,156.00,18.20
81,EXTEND,1,68,0,155.00,15.53
77,EXTEND,1,91,0,177.00,15.12
77,DECODE,41,0,41,198.32,7.50
79,DECODE,44,0,44,198.57,7.56
82,DECODE,45,0,45,203.24,7.57
78,DECODE,45,0,45,202.58,7.55
83,DECODE,45,0,45,204.24,7.56
79,DECODE,45,0,45,203.58,7.55
78,EXTEND,3,215,0,158.00,14.27
80,EXTEND,1,68,0,155.00,15.07
80,DECODE,45,0,45,204.58,7.56
84,DECODE,44,0,44,204.39,7.54
79,DECODE,44,0,44,196.57,7.52
81,DECODE,45,0,45,198.60,7.56
81,DECODE,45,0,45,205.58,7.57
80,DECODE,44,0,44,197.57,7.51
82,DECODE,45,0,45,199.60,7.54
85,EXTEND,1,84,0,170.00,16.28
81,DECODE,42,0,42,199.00,7.49
82,DECODE,42,0,42,208.12,7.55
83,DECODE,44,0,44,200.73,7.52
86,DECODE,43,0,43,203.95,7.58
84,EXTEND,1,77,0,163.00,10.81
83,EXTEND,2,124,0,148.50,15.28
82,EXTEND,3,245,0,168.00,18.35
87,EXTEND,2,161,0,167.00,10.69
85,DECODE,45,0,45,200.89,7.53
84,DECODE,44,0,44,206.41,7.57
83,DECODE,43,0,43,197.93,7.51
